Position Title,Summary,Grade,Opening-Closing Dates,Type,Technology Area,CMS Node
Industry Partnerships Manager,Join a,GS-13,6/21/2022 - 7/12/2022,USAJobs,Operations,https://www.energy.gov/node/2207553/
Interdisciplinary General Engineer / Physical Scientist,,GS-12; GS-13,6/21/2022 - open until filled,BIL,Batteries & Electrification,https://www.energy.gov/node/2207553/
Interdisciplinary General Engineer / Physical Scientist,,GS-13-Term,6/21/2022 - open until filled,BIL,Batteries & Electrification,https://www.energy.gov/node/2207553/
Operations Chief of Staff (Engineer),Join a,GS-13,6/21/2022 - open until filled,Direct Hire,Operations,https://www.energy.gov/node/2207553/
Program Manager (Engineer),VTO seeks dynamic leader to serve as program manager of the Batteries portfolio.  Candidate will....,GS-15,6/21/2022 - open until filled,Direct Hire,Batteries & Electrification,https://www.energy.gov/node/2207553/
Program Manager (Physical Scientist/Engineer),VTO seeks dynamic leader to serve as program manager of the Electrification portfolio.  Candidate will....,GS-15,6/21/2022 - open until filled,Direct Hire,Batteries & Electrification,https://www.energy.gov/node/2207553/
Program Manager (Engineer),VTO seeks dynamic leader to serve as program manager of the EEMS portfolio.  Candidate will....,GS-15,6/21/2022 - open until filled,Direct Hire,Energy Efficient Mobility Systems,https://www.energy.gov/node/2207553/
Technology Development Manager (Engineer),,GS-14,6/21/2022 - open until filled,Direct Hire,Batteries & Electrification,https://www.energy.gov/node/2207553/
Technology Development Manager (Engineer),,GS-13,6/21/2022 - open until filled,Direct Hire,Batteries & Electrification,https://www.energy.gov/node/2207553/
Technology Development Manager (Engineer),,GS-12,6/21/2022 - open until filled,Direct Hire,Batteries & Electrification,https://www.energy.gov/node/2207553/
Technology Development Manager (Engineer),,GS-13,6/21/2022 - open until filled,Direct Hire,Batteries & Electrification,https://www.energy.gov/node/2207553/
Technology Development Manager (Engineer),,GS-13,6/21/2022 - open until filled,Direct Hire,"Marine, Aviation, Rail, and Off-Road",https://www.energy.gov/node/2207553/
Technology Development Manager (Engineer/Physical Scientist),,GS-13,6/21/2022 - open until filled,Direct Hire,Energy Efficient Mobility Systems,https://www.energy.gov/node/2207553/
Deployment Manager,Join a,GS-12,6/21/2022 - 7/12/2022,USAJobs,Technology Integration,https://www.energy.gov/node/2207553/
Deployment Manager,Join a,GS-12,6/21/2022 - 7/12/2022,USAJobs,Technology Integration,https://www.energy.gov/node/2207553/
Deployment Manager,Join a,GS-14,6/21/2022 - 7/12/2022,USAJobs,Technology Integration,https://www.energy.gov/node/2207553/
