,Mandatory FEMP Standby Power Requirement,Declared Standby Power,Product Category,Company Name - Brand Name,Model Name,Model Number,Additional Model Information,UNSPSC Code,ENAC Code,Wake on LAN (WOL) Status as Shipped (Workstations Only),Notes
60,Compliant,0 to 1 W,Computer - Workstation,Lenovo Group Limited - Lenovo,ThinkStation P330 Tiny,30CE,"ThinkStation P330 Tiny,30CF,; ThinkStation P330 Tiny,30CG,; ThinkStation P330 Tiny,30D5,; ThinkStation P330 Tiny,30D6,; ThinkStation P330 Tiny,30D7,; ThinkStation P330 Tiny,30D8,; ThinkStation P330 Tiny,30D9,",43211515,LF,Shipped Enabled Under All Conditions,
61,Compliant,0 to 1 W,Computer - Workstation,HP Inc. - HP,HP Z840 Workstation ENERGY STAR,Z840,,43211515,LF,Shipped Enabled Under All Conditions,
62,Compliant,0 to 1 W,Computer - Workstation,HP Inc. - HP,HP Z440 Workstation ENERGY STAR,Z440,,43211515,LF,Shipped Enabled Under All Conditions,
63,Compliant,0 to 1 W,Computer - Workstation,HP Inc. - HP,HP Z640 Workstation ENERGY STAR,Z640,,43211515,LF,Shipped Enabled Under All Conditions,
64,Compliant,0 to 1 W,Computer - Workstation,Lenovo Group Limited - Lenovo,ThinkStation P330,30C7,"ThinkStation P330,30C8,; ThinkStation P330,30CA,; ThinkStation P330,30D1,; ThinkStation P330,30D2,; ThinkStation P330,30D4,",43211515,LF,Shipped Enabled Under All Conditions,
22,Non-compliant,1.1 to 2 W,Computer - Thin Client,Fujitsu Technology Solutions GmbH - Fujitsu,FUTRO S740,FUTRO S740,",FUTRO S540,",43211506,LF,,
34,Non-compliant,1.1 to 2 W,Computer - Workstation,SMARTEC S.A.S. - PCSMART,WKGOBINXE19-Series,WKGOBINXE19-A,"WKGOBINXE19-Series,WKGOBINXE19-B,; WKGOBINXE19-Series,WKGOBINXE19-C,; WKGOBINXE19-Series,WKGOBINXE19-D,; WKGOBINXE19-Series,WKGOBINXE19-E,; WKGOBINXE19-Series,WKGOBINXE19-F,; WKGOBINXE19-Series,WKGOBINXE19-G,; WKGOBINXE19-Series,WKGOBINXE19-H,; WKGOBINXE19-Series,WKGOBINXE19-I,; WKGOBINXE19-Series,WKGOBINXE19-J,; WKGOBINXE19-Series,WKGOBINXE19-K,",43211515,LF,Shipped Disabled with Both Client OS and Network Controls to Enable Feature,
38,Non-compliant,1.1 to 2 W,Computer - Workstation,ASUSTeK Computer Inc. - ASUS,ESC500 G4 SFF Series,ESC500 G4 SFF,"ESC500 G4 SFF Series,ESC510 G4 SFF,; ESC500 G4 SFF Series,WS660 SFF,; ESC500 G4 SFF Series,WS670 SFF,",43211515,LF,Shipped Disabled,
41,Non-compliant,1.1 to 2 W,Computer - Workstation,Transource Computers - Transource,SCORCH,SCO-950-X,,43211515,LF,Shipped Enabled Under All Conditions,
45,Compliant,0 to 1 W,Computer - Workstation,HP Inc. - HP,HP Z4 G4 Workstation ENERGY STAR,Z4 G4,,43211515,LF,Shipped Enabled Under All Conditions,WOL Disable power: 1.5
46,Compliant,0 to 1 W,Computer - Workstation,HP Inc. - HP,HP Z240  Tower Workstation ENERGY STAR,HP Z240  Tower Workstation,,43211515,LF,Shipped Enabled Under All Conditions,WOL disabled standby power: 2.0
13,Non-compliant,2.1 to 3 W,Computer - Thin Client,IGEL Technology GmbH - IGEL,IGEL-TC215B,IGEL-TC215B,,43211506,LF,,
39,Non-compliant,2.1 to 3 W,Computer - Workstation,ASUSTeK Computer Inc. - ASUS,E500 G5 Series,E500 G5,"E500 G5 Series,WS690T,",43211515,LF,Shipped Disabled,
49,Compliant,0 to 1 W,Computer - Workstation,HP Inc. - HP,HP Z240 SFF Workstation ENERGY STAR,HP Z240 SFF Workstation,,43211515,LF,Shipped Enabled Under All Conditions,WOL disabled standby power: 2.1
57,Non-compliant,2.1 to 3 W,Computer - Workstation,Lenovo Group Limited - Lenovo,ThinkStation P720,30BA00CEUS,"ThinkStation P720,30BA00CFUS,; ThinkStation P720,30BBS0M700,",43211515,LF,Shipped Enabled Under All Conditions,
30,Non-compliant,3.1 W or greater,Computer - Workstation,ASUSTeK Computer Inc. - ASUS,Pro E800 G4 Series,Pro E800 G4,,43211515,LF,Shipped Enabled Under All Conditions,
36,Non-compliant,3.1 W or greater,Computer - Workstation,ASUSTeK Computer Inc. - ASUS,ESC700 G4 Series,ESC700 G4,"ESC700 G4 Series,E700 G4,; ESC700 G4 Series,E700GX G4 SE,; ESC700 G4 Series,E700X G4,; ESC700 G4 Series,ESC700X G4 SE,; ESC700 G4 Series,ESC700X G4,; ESC700 G4 Series,WS880T,; ESC700 G4 Series,WS880TX SE,; ESC700 G4 Series,WS880TX,",43211515,LF,Shipped Disabled,
40,Non-compliant,3.1 W or greater,Computer - Workstation,ASUSTeK Computer Inc. - ASUS,E900 G4 Series,E900 G4,,43211515,LF,Shipped Enabled Under All Conditions,
47,Compliant,0 to 1 W,Computer - Workstation,HP Inc. - HP,HP Z8 G4 Workstation ENERGY STAR,Z8 G4,,43211515,LF,Shipped Enabled Under All Conditions,WOL Disable power: 5.7
48,Compliant,0 to 1 W,Computer - Workstation,HP Inc. - HP,HP Z6 G4 Workstation ENERGY STAR,Z6 G4,,43211515,LF,Shipped Enabled Under All Conditions,WOL Disable power: 3.8
56,Non-compliant,3.1 W or greater,Computer - Workstation,Lenovo Group Limited - Lenovo,ThinkStation P920,30BC001SUS,"ThinkStation P920,30BC001TUS,",43211515,LF,Shipped Enabled Under All Conditions,
65,Non-compliant,3.1 W or greater,Computer - Workstation,Dell Inc. - DELL,D02R,Precision 3930 Rack,,43211515,LF,Shipped Enabled Under All Conditions,
