pid,Mandatory FEMP Standby Power Requirement,Declared Standby Power,Product Category,Company Name - Brand Name,Model Name,Model Number,Additional Model Information,UNSPSC Code,ENAC Code,Wake on LAN (WOL) Status as Shipped (Workstations Only),Notes
0,Compliant,0 to 1 W,Computer - Thin Client,IGEL Technology GmbH - IGEL,IGEL-M250C,UD2,"IGEL-M250C,UD2-LX,; IGEL-M250C,UD2-W10,",43211506,LF,,
1,Compliant,0 to 1 W,Computer - Thin Client,HP Inc. - HP,HP t240Thin Client,TPC-HC01-TC,,43211506,LF,,
2,Compliant,0 to 1 W,Computer - Thin Client,HP Inc. - HP,TPC-I020-TC,HP t630 Thin Client,,43211506,LF,,
3,Compliant,0 to 1 W,Computer - Thin Client,Fujitsu Technology Solutions GmbH - Fujitsu,FUTRO Q940,FUTRO Q940,"FUTRO S940,FUTRO S940,",43211506,LF,,
5,Compliant,0 to 1 W,Computer - Thin Client,Dell Inc. - DELL,N07D,Wyse 5060,,43211506,LF,,
6,Compliant,0 to 1 W,Computer - Thin Client,Dell Inc. - DELL,N11D,Wyse 5070,,43211506,LF,,
7,Compliant,0 to 1 W,Computer - Thin Client,Dell Inc. - DELL,N12D,Wyse 5070 Ext,,43211506,LF,,
8,Compliant,0 to 1 W,Computer - Thin Client,Dell Inc. - DELL,"N03D, 3290 Thin Client",Wyse 3030,,43211506,LF,,
9,Compliant,0 to 1 W,Computer - Thin Client,Dell Inc. - DELL,"Dx0Q, D50Q, D90QW, D90Q7 and D90Q8",Wyse 5020,,43211506,LF,,
10,Compliant,0 to 1 W,Computer - Thin Client,Acer Incorporated - Acer,Acer E220 VERITON M26XXG,Acer E220 VERITON M26XXG,,43211506,LF,,
11,Compliant,0 to 1 W,Computer - Thin Client,Lenovo Group Limited - Lenovo,Thinkcentre M625q,10TL,"Thinkcentre M625q,10UY,; Thinkcentre M625q,10V0,; Thinkcentre M625q,10V1,; Thinkcentre M625q,10V2,",43211506,LF,,
12,Compliant,0 to 1 W,Computer - Thin Client,HP Inc. - HP,HP t628 Thin Client,TPC-W027-TC,,43211506,LF,,
13,Compliant,0 to 1 W,Computer - Thin Client,HP Inc. - HP,HP t530 Thin Client,TPC-W041-TC,,43211506,LF,,
15,Compliant,0 to 1 W,Computer - Thin Client,IGEL Technology GmbH - IGEL,IGEL-H850C,UD7,"IGEL-H850C,UD7-LX,; IGEL-H850C,UD7-W10,",43211506,LF,,
