Program,Activity,Presenting Organization,Project Title,URL,Text,Activity_Detail
EMT: Emerging Technologies,"R&D - Building Electric Appliances, Devices, and Systems",ORNL,Sensors Impact Evaluation and Verification,https://www.energy.gov/eere/buildings/downloads/sensor-impact-evaluation-and-verification,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,"R&D - Building Electric Appliances, Devices, and Systems",University of Virginia,Improving Energy Efficiency of Wireless Communication Circuitry in MELs,https://energy.gov/eere/buildings/downloads/improving-energy-efficiency-wireless-communication-circuitry-miscellaneous,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,"R&D - Building Electric Appliances, Devices, and Systems",Columbia University,"Reducing Plug Load Electricity Footprint of Residential Buildings through Low Cost, Non-Intrusive Sub Metering and Personalized Feedback Technology",https://www.energy.gov/eere/buildings/downloads/reducing-residential-plug-load-energy-use-through-nonintrusive-submetering,This project was not formally reviewed.,
EMT: Emerging Technologies,R&D - Thermal Energy Storage,University of Virginia ,Bio-Based Phase Change Materials (PCMs) for Thermal Energy Storage,https://www.energy.gov/eere/buildings/articles/bio-based-phase-change-materials-pcm-thermal-energy-storage,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Thermal Energy Storage,Texas A&M Engineering Experiment Station,Salt Hydrate Eutectic Thermal Energy Storage for Building Thermal Regulation,https://www.energy.gov/eere/buildings/articles/salt-hydrate-eutectic-thermal-energy-storage-building-thermal,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Thermal Energy Storage,"University of Massachusetts, Lowell","Multipurpose Latent Heat Storage System For Building Applications - Development of Low-Cost, High-Performance, Easy-to-Apply, Non-Flammable, Inorganic Phase Change Material (PCM) Technology",https://www.energy.gov/eere/buildings/articles/multipurpose-latent-heat-storage-system-building-applications,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Thermal Energy Storage,LBNL,Stable Thermochemical Salt Hydrates for Energy Storage in Buildings,https://www.energy.gov/eere/buildings/articles/stable-thermochemical-salt-hydrates-energy-storage-buildings,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Thermal Energy Storage,ORNL,A New Approach to Encapsulate Salt Hydrate PCM,https://www.energy.gov/eere/buildings/articles/new-approach-encapsulate-salt-hydrate-pcm,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Thermal Energy Storage,University of Alabama,Cost-Effective Thermally Activated Building Systems to Support a Power Grid System With High Penetrations of As-Available Renewable Energy Resources,https://www.energy.gov/eere/buildings/articles/cost-effective-thermally-activated-building-systems-support-power-grid ,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Opaque Envelope,"University at Buffalo, SUNY",Scalable and Cost-Effective Roll-to-Roll Additive Manufacturing of Highly Durable and Thermal Insulating Silica-Carbon Aerogel,https://www.energy.gov/eere/buildings/articles/scalable-and-cost-effective-roll-roll-additive-manufacturing-highly-durable ,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Opaque Envelope,Virginia Commonwealth University,Inexpensive and Durable Aerogel-Based VIP Cores,https://www.energy.gov/eere/buildings/articles/inexpensive-and-durable-aerogel-based-vip-cores-0,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Opaque Envelope,ORNL,Preinstalled Sealant for Prefab Components,https://www.energy.gov/eere/buildings/articles/preinstalled-sealant-prefab-components ,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Thermal Energy Storage,Treau ,High-Performance Membrane Heat Exchangers for HVAC,https://www.energy.gov/eere/buildings/articles/high-performance-membrane-heat-exchangers-hvac,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Thermal Energy Storage,NREL,Air Conditioner with Integrated Composite PCM,https://www.energy.gov/eere/buildings/downloads/air-conditioner-integrated-phase-change-composite-material,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Thermal Energy Storage,PNNL,Smart Building Start (SBS),https://www.energy.gov/eere/buildings/articles/smart-building-start-sbs ,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Opaque Envelope,Virginia Commonwealth University,Development of R-12/in Isocyanurate-based Super Insulation at Atmospheric Pressure,https://www.energy.gov/eere/buildings/articles/development-isocyanurate-based-super-insulation-atmospheric-pressure-siap,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Opaque Envelope,Glint Photonics Inc.,Stationary Concentrator Daylighting System,http://www.energy.gov/eere/buildings/downloads/stationary-concentrator-daylighting-system,Reviewer comment summaries and scores coming soon.,
