Institution,City,State,Zip,Title,FY,SBIR Phase,Start,End,Amount,Program,Subtotal,FY Total
"T2C Energy, LLC",Tampa,FL,34689,Conversion of Landfill Gas to Drop-in Renewable Fuel,FY 17,2,4/10/2017,4/9/2019,"$1,010,000 ",WTE,,
Visolis,Cambridge,MA,94704-1910,Production of C5 Hydrocarbons from Waste Biomass,FY 17,2,4/10/2017,4/9/2019,"$999,909 ",WTE,,
"CF Technologies, Inc.",Hyde Park,MA,02136-2075,Hydrothermal Liquefaction of Brown Grease from Wastewater Treatment Plants to Biodiesel using Supercritical Fluids.,FY 17,2,7/31/2017,7/30/2019,"$999,997 ",WTE,,
Mainstream Engineering Corporation,Rockledge,FL,32955-5327,Hydrothermal Liquefaction of Food Waste and Remediation of Aqueous Byproducts,FY 17,2,7/31/2017,7/30/2019,"$999,993 ",WTE,,
MOgene Green Chemicals,Saint Louis,MO,63132-2900,An Optimized Biocatalyst for Efficient Conversion of CH4 and CO2 into Bioproducts,FY 17,2,7/31/2017,7/30/2019,"$1,000,000 ",WTE,,
"NexTech Materials, Ltd. dba Nexceris, LLC",Lewis Center,OH,43035-9423,Conversion of Biogas to Liquid Fuels on Superior Catalysts,FY 17,2,7/31/2017,7/30/2019,"$1,000,000 ",WTE,"$7,059,849 ","$8,500,533 "
Environmental Fuel Research LLC ,Media,PA,19063-1630,Purification of Brown Grease for Fuel Production,FY 18,1,4/9/2018,11/8/2019,"$150,000 ",WTE,,
Integrated Lipid Biofuels LLC,Pullman,WA,99163-3137,High Yield Conversion of Waste to Biochemicals with a Synthetic Biology Platform,FY 18,1,4/9/2018,4/8/2019,"$150,000 ",WTE,,
Opus 12 Inc.,Berkeley,CA,94704-1517,Electrochemical conversion of CO2 to CO for use as a fermentation feedstock,FY 18,1,4/9/2018,5/8/2019,"$149,975 ",CO2,,
Dioxide Materials,Boca Raton,FL,33431-6429,CO2 to Chemicals: A Hybrid Process for Bioproduct Synthesis From CO2 ,FY 18,1,4/9/2018,1/8/2019,"$150,000 ",CO2,,
Precision Combustion Inc. ,North Haven,CT,06473-3106,Excess Electric Power-Driven Conversion of Carbon Dioxide to Chemicals,FY 18,1,4/9/2018,1/8/2019,"$149,871 ",CO2,,
Emergy LLC,Lemont,IL,60439-4815,Industrial Process Optimization of High-Value Byproducts from Novel Fungi-Based Food and Beverage Wastewater Treatment Technology,FY 18,1,7/2/2018,1/1/2019,"$111,292 ",WTE,,
Media and Process Technology Inc,Pittsburgh,PA,15238-1368,Ceramic Membrane Enhanced Two-Stage Hydrothermal Liquefaction for Simultaneous Biofuels and Biochemicals from Liquid Wastes,FY 18,1,7/2/2018,4/1/2019,"$149,993 ",WTE,,
SarTec Corporation,Anoka,MN,55303-1601,Hydrothermal Catalysis to Flow Process Brown Grease into Biofuels and Biochemicals,FY 18,1,7/2/2018,7/1/2019,"$150,000 ",WTE,,
"TDA Research, Inc.",Wheat Ridge,CO,80033-1916,Highly Efficient Modular Anaerobic Membrane Bioreactor (AnMBR) for Biofuel Production from Wet Organic Waste Streams,FY 18,1,7/2/2018,4/1/2019,"$149,085 ",WTE,,
Bio-Missions LLC,Reynoldsburg,OH,43068-9708,An Integrated Process for Butanol Production from Cellulosic Biomass and CO2 Using Engineered Clostridia in a Linear Immobilized Bioreactor,FY 18,1,7/2/2018,7/1/2019,"$150,000 ",CO2,,
"Faraday Technology, Inc.",Englewood,OH,45315-8983,Scaling Bioelectrochemical Biomass Conversion Technologies,FY 18,1,7/2/2018,4/1/2019,"$150,000 ",CO2,,
"Industrial Microbes, Inc.",Emeryville,CA,94608-2924,High-Efficiency Conversion of Biomass into Chemicals using Fermentation and Electroreduction,FY 18,1,7/2/2018,7/1/2018,"$150,000 ",CO2,,
Lygos,Berkeley,CA,94710-1413,Two-phase Production of an Organic Acid with CO2 Sequestration,FY 18,1,7/2/2018,3/1/2019,"$150,000 ",CO2,,
"Global Algae Innovations, Inc.",Lihue,HI,96766-2037,Development of Breeding Strategies for Nitzschia sp.,FY 18,1,7/2/2018,4/1/2019,"$146,436 ",Algae,,
"Global Algae Innovations, Inc.",Santee,CA,92071-4521,Development of a breeding system in Chlamydomonas moewusii for improved production strains,FY 18,1,7/2/2018,4/1/2019,"$146,055 ",Algae,,
MicroBio Engineering,San Luis Obispo,CA,93401-7574,Domestication of the microalga Scenedesmus obliquus for biomass feedstock production,FY 18,1,7/2/2018,4/1/2019,"$149,999 ",Algae,,
"Global Algae Innovations, Inc.",Lihue,HI,96766-2037,Zobi&#174; based processes for ultra-low energy algal harvesting and dewatering,FY 18,1,7/2/2018,4/1/2019,"$145,194 ",Algae,,
Molecule Works Inc.,Richland,WA,99354-5310,Concentration and dewatering of micro-algae cultures with high throughput ceramic membranes,FY 18,1,7/2/2018,4/1/2019,"$150,000 ",Algae,,
"KSE, Inc",Sunderland,MA,01375-9420,"Production of 2,5-Furandicarbolic Acid from Furfural Produced from a Wet Waste Stream",FY 18,2,8/27/2018,8/26/2020,"$1,010,000 ",WTE,,
InnoSense LLC,Torrance,CA,90505-5245,Supramolecular Nanocellulose Drug Excipients,FY 18,2,,,"$1,010,000 ",Nanocellulose,,
Opus 12 Incorporated,Berkeley,CA,94704-1517,Utilization of waste CO2 to make renewable chemicals and fuels,FY 18,2,,,"$1,000,000 ",CO2,,
"Sustainable Innovations, LLC",East Hartford,CT,06108-3653,Formic Acid,FY 18,2,,,"$999,986 ",CO2,,
"Visolis, Inc.",Berkeley,CA,94704-1910,Production of High Value Products from Gaseous Waste Streams,FY 18,2,,,"$1,010,000 ",CO2,,
"Manta Biofuel, LLC",Reisterstown,MD,21136-1716,Development of a High Throughput Algal Dewatering System Using Magnetic Particles,FY 18,2,,,"$1,000,000 ",Algae,,
