ProjectID,Project,Fuel,Market_Sector,Technology_Prime_Mover,Thermal_Energy_Use,Profile,City,State,CHP_TAP,SystemSize,YearInstalled,NAICS_Code,Status,Comment
428,Notre Dame Long Term Care & Assisted Living Centers,Natural Gas,Healthcare ,Reciprocating Engine,Space Heating | Water Heating,http://www.chptap.org/Data/projects/NotreDameLongTermCareCHPprofile.pdf,Worcester,MA,New England,150,2004,623311 Continuing Care Retirement Communities,1,
429,South Oaks Hospital - The Long Island Home,Fuel Oil | Natural Gas,Healthcare ,Reciprocating Engine,Space Cooling | Space Heating | Water Heating,http://www.chptap.org/Data/projects/southoaks_case_study_02may13.pdf,Amityville,NY,New York-New Jersey,1300,1990,622110 General Medical and Surgical Hospitals,1,
432,Williams College,Fuel Oil | Natural Gas,District Energy | Universities and Colleges,Steam Turbine,Process Heat | Space Heating | Water Heating,http://www.chptap.org/Data/projects/WilliamsCollege_profile.pdf,Williamstown,MA,New England,3000,2004,"611310 Colleges, Universities and Professional Schools",1,
439,St. Paul Island,Fuel Oil,District Energy,Reciprocating Engine | Renewables Integrated with CHP,Space Heating,http://www.chptap.org/Data/projects/StPaulIsland-Project_Profile.pdf,St. Paul Island,AK,Northwest,300,1999,531312 Nonresidential Property Managers,1,
440,Alaska Village Electric Cooperative - Anvik,Fuel Oil,Utilities,Reciprocating Engine,Space Heating,http://www.chptap.org/Data/projects/ANVIK-Project_Profile.pdf,Anvik,AK,Northwest,495,1999,221112 Fossil Fuel Electric Power Generation,1,
441,Golovin City,Fuel Oil,Utilities,Reciprocating Engine,Space Heating,http://www.chptap.org/Data/projects/GOLOVIN-Project_Profile.pdf,Golovin,AK,Northwest,570,2004,221112 Fossil Fuel Electric Power Generation,1,
442,Inside Passage Electric Cooperative - Angoon,Fuel Oil,District Energy | Schools | Utilities,Reciprocating Engine,Space Heating,http://www.chptap.org/Data/projects/ANGOON-Project_Profile.pdf,Angoon,AK,Northwest,1585,1990,221112 Fossil Fuel Electric Power Generation,1,
443,Kokhanok City,Fuel Oil,Utilities,Reciprocating Engine,Space Heating,http://www.chptap.org/Data/projects/KOKHANOK-Project_Profile.pdf,Kokhanok,AK,Northwest,495,2004,221112 Fossil Fuel Electric Power Generation,1,
444,"Village Council, Kongiganak City",Fuel Oil,Utilities,Reciprocating Engine,Space Heating,http://www.chptap.org/Data/projects/KONGIGANAK-Project_Profile.pdf,Kongiganak,AK,Northwest,755,2005,221112 Fossil Fuel Electric Power Generation,1,
445,"Village Council, Kwigillingok City",Fuel Oil,Utilities,Reciprocating Engine,Space Heating,http://www.chptap.org/Data/projects/KWIGILLINGOK-Project_Profile.pdf,Kwigillingok,AK,Northwest,585,2005,221112 Fossil Fuel Electric Power Generation,1,
446,"Village Council, Stevens Village",Fuel Oil,Utilities,Reciprocating Engine,Space Heating,http://www.chptap.org/Data/projects/STEVENS-Project_Profile.pdf,Stevens Village,AK,Northwest,260,2003,221112 Fossil Fuel Electric Power Generation,1,
449,University of Montana ,Natural Gas,District Energy | Universities and Colleges,Steam Turbine,Space Heating,http://www.chptap.org/Data/projects/UniversityOfMontanaMissoula-Project_Profile.pdf,Missoula,MT,Upper-West,440,1995,"611310 Colleges, Universities and Professional Schools",1,
455,Vineyard 29,Natural Gas,Wineries,Microturbine,Process Heat | Space Cooling | Space Heating,http://www.chptap.org/Data/projects/vineyard-29-Project_Profile.pdf,St. Helena,CA,Western,120,2003,312130 Wineries,1,
456,The Ritz-Carlton Hotel in San Francisco,Natural Gas,Hotels,Microturbine,Space Cooling | Space Heating,http://www.chptap.org/Data/projects/ritz-carlton-Project_Profile.pdf,San Francisco,CA,Western,240,2005,721110 Hotels and Motels,1,
461,Transamerica Pyramid Building,Natural Gas,Office Buildings and Skyscrapers,Reciprocating Engine,Space Cooling | Space Heating | Water Heating,http://www.chptap.org/Data/projects/pyramid-building.pdf,San Francisco,CA,Western,1000,2007,531312 Nonresidential Property Managers,1,
